,tconst,ordering_x,nconst_x,category_x,job_x,characters_x,titleType_x,primaryTitle_x,originalTitle_x,isAdult_x,startYear_x,endYear_x,runtimeMinutes_x,genres_x,primaryName_x,birthYear_x,deathYear_x,primaryProfession_x,knownForTitles_x,ordering_y,nconst_y,category_y,job_y,characters_y,titleType_y,primaryTitle_y,originalTitle_y,isAdult_y,startYear_y,endYear_y,runtimeMinutes_y,genres_y,primaryName_y,birthYear_y,deathYear_y,primaryProfession_y,knownForTitles_y
0,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",10,nm0005695,cinematographer,director of photography,,movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Frederick Elmes,1946,,"cinematographer,camera_department,special_effects","tt0102536,tt0100935,tt0119349,tt0090756"
1,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705"
2,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",2,nm0286033,actress,,"[""Julie Richman""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Deborah Foreman,1962,,actress,"tt0091579,tt0090655,tt0086525,tt0089886"
3,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",3,nm0197354,actress,,"[""Loryn""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Elizabeth Daily,1961,,"actress,soundtrack,writer","tt0366548,tt0089791,tt0175058,tt0120595"
4,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",4,nm0100889,actor,,"[""Tommy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Michael Bowen,1953,,"actor,soundtrack","tt0351977,tt0119396,tt0266697,tt0844708"
5,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",5,nm0004838,director,,,movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Martha Coolidge,1946,,"director,producer,writer","tt0086525,tt0102753,tt0089886,tt0172348"
6,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",6,nm0485229,writer,written by,,movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Andrew Lane,1951,,"producer,writer,director","tt0100188,tt0086525,tt0091282,tt0102329"
7,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",7,nm0186988,writer,written by,,movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Wayne Crawford,1947,2016,"actor,producer,writer","tt0091282,tt0320483,tt0245523,tt0106089"
8,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",8,nm0506108,composer,,,movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Marc Levinthal,,,"composer,soundtrack","tt0086525,tt2637276,tt7106672,tt3721630"
9,tt0086525,1,nm0000115,actor,,"[""Randy""]",movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Nicolas Cage,1964,,"actor,producer,soundtrack","tt0119094,tt0117500,tt0113627,tt0435705",9,nm0929025,composer,,,movie,Valley Girl,Valley Girl,0.0,1983.0,,99,"Comedy,Romance",Scott Wilk,,,"composer,soundtrack,actor","tt0099797,tt0093011,tt2637276,tt0092644"
